Subject,Subject Names,Course Outcomes,Programming Knowledge Needed,Math Requirements,Other Requirements,Weekly Workload (hours),Assignments #,Hours per Assignment,Assignment Weight,Avg Assignment Grade,Project Weight,Avg Project Grade,Exam #,Avg Exam Grade,Exam Weight,Avg Final Grade,Burnout (P),Prerequisite,Corequisite,Seats,Enrollments
subject_id,subject_name,seats,enrollments,weekly_course_time,assignment_count,assignment_time,assignment_weight,assignment_grade,project_weight,project_grade,exam_count,exam_grade,exam_weight,final_grade,course_outcomes/0,course_outcomes/1,corequisite/0,course_outcomes/2,course_outcomes/3,course_outcomes/4,course_outcomes/5,prerequisite/0,programming_knowledge_needed/0,course_outcomes/6,course_outcomes/7,math_requirements/0,math_requirements/1,math_requirements/2,programming_knowledge_needed/1,programming_knowledge_needed/2,other_requirements/0,math_requirements/3,other_requirements/1,other_requirements/2,prerequisite/1
CS5001,Intensive Foundations of Computer Science,260,255,15,7,10,0.45,87,0,0,2,85,0.55,84,Python,Problem Solving,CS5003,,,,,,,,,,,,,,,,,,
CS5002,Discrete Structures,263,283,15,6,5,0.3,82,0.3,85,1,82,0.4,82,Discrete Mathematics,Graph Theory,,Combinatorics,Logic,Set Theory,,,,,,,,,,,,,,,
CS5004,Object-Oriented Design,241,239,12,5,6,0.35,92,0.25,90,1,88,0.4,92,Object-Oriented Programming,Design Patterns,CS5005,UML,Java,C++,C#,CS5001,,,,,,,,,,,,,
CS5008,"Data Structures, Algorithms, and Their Applications within Computer Systems",264,311,10,6,5,0.35,94,0.25,92,1,90,0.4,94,Algorithms,Data Structures,CS5009,Complexity Analysis,Java,C++,Computer Systems,CS5001,C,,,,,,,,,,,,
CS5010,Programming Design Paradigm,236,234,15,5,6,0.3,88,0.3,90,1,87,0.4,88,Python,Java,CS5011,Haskell,,,,,,,,,,,,,,,,,
CS5047,Exploring AI Trends and Tools,286,280,10,4,6,0.5,88,0.3,90,1,88,0.2,89,Artificial Intelligence,TensorFlow,,PyTorch,,,,,,,,,,,,,,,,,
CS5097,Mixed Reality,282,313,8,4,5,0.4,85,0.3,87,1,86,0.3,86,Unity,Unreal Engine,,Virtual Reality,Augmented Reality,Extended Reality,Development,,,3D Interaction,Spatial Computing,,,,,,,,,,
CS5100,Foundations of Artificial Intelligence,272,271,10,9,6,0.6,95,0.4,90,1,90,0,90,Search Algorithms,Knowledge Representation,,Logic,Python,Artificial Intelligence,Machine Learning,,Python,Natural Language Processing,Reinforcement Learning,Linear Algebra,Probability,Calculus,,,,,,,
CS5150,Game Artificial Intelligence,264,260,10,5,5,0.35,87,0.35,89,1,88,0.3,88,Artificial Intelligence,Game Development,,Pathfinding,,,,,,,,,,,,,,,,,
CS5170,Artificial Intelligence for Human-Computer Interaction,259,254,10,5,6,0.4,86,0.3,88,1,87,0.3,87,Artificial Intelligence,Human-Computer Interaction,,User Interface Design,,,,CS5100,,,,Probability,Linear Algebra,,,,,,,,
CS5180,Reinforcement Learning and Sequential Decision Making,235,226,12,5,6,0.4,88,0.3,90,1,89,0.3,89,Reinforcement Learning,Markov,,Decision,,,,,,,,,,,,,,,,,
CS5200,Database Management Systems,225,219,10,7,10,0.23,90,0.2,95,4,88,0.54,89,SQL,Database Design,,,,,,,,,,,,,,,,,,,
CS5310,Computer Graphics,200,198,10,5,5,0.35,87,0.3,89,1,88,0.35,88,Computer Graphics,2D Graphics,,3D Graphics,,,,,,,,Linear Algebra,,,,,,,,,
CS5330,Pattern Recognition and Computer Vision,222,216,12,5,6,0.4,86,0.3,88,1,87,0.3,87,Computer Vision,Pattern Recognition,,,,,,,,,,Linear Algebra,,,,,,,,,
CS5335,Robotic Science and Systems,291,281,12,5,6,0.4,88,0.3,90,1,89,0.3,89,Robotics,Kinematics,,,,,,,,,,,,,,,,,,,
CS5340,Computer/Human Interaction,292,339,10,5,5,0.35,85,0.3,87,1,86,0.35,86,Human-Computer Interaction,User Interface Design,,User Experience Design,,,,,C,,,,,,,,,,,,
CS5350,Applied Geometric Representation and Computation,281,273,5,5,4,0.35,86,0.3,89,1,88,0.35,87,Geometric transformations,3D modeling techniques,,,,,,,,,,Linear Algebra,Discrete Mathematics,,,,,,,,
CS5360,Noninteractive Computer Graphics,214,212,4,5,4,0.4,84,0.25,87,1,85,0.35,85,Ray tracing,rasterization,,saders,,,,,,,,Discrete Mathematics,,,,,,,,,
CS5400,Principles of Programming Language,268,262,4,6,4,0.3,87,0.3,90,1,88,0.4,88,Programming paradigms,language design,,,,,,CS5010,,,,,,,,,,,,,
CS5500,Foundations of Software Engineering,228,236,5,6,4,0.3,85,0.4,89,1,86,0.3,87,Object-Oriented Design,Software Development Life Cycle,,Unit Testing,Agile Methodology,,,CS5010,JavaScript,,,,,,Object-Oriented Design,,,,,,
CS5520,Mobile Application Development,215,250,6,6,5,0.3,85,0.4,88,1,85,0.3,86,Java,Kotlin,,Android Studio,Firebase,MVVM,,,Java,,,Linear Algebra,,,Object-Oriented Design,,,,,,
CS5540,Game Programming,287,285,5,5,4,0.35,83,0.3,86,1,84,0.35,85,Unity,Unreal Engine,,,,,,CS5004,,,,Discrete Mathematics,,,,,,,,,
CS5600,Computer Systems,271,264,5,6,4,0.3,85,0.35,88,1,87,0.35,87,Memory Management,C,,Computer Systems,,,,,C,,,,,,,,,,,,
CS5610,Web Development,255,253,5,5,4,0.35,84,0.3,87,1,86,0.35,86,HTML,CSS,,JavaScript,React,Node.js,RESTful APIs,,HTML,Web Security,,Probability,Discrete Mathematics,,CSS,SQL,,,,,
CS5700,Fundamentals of Computer Networking,263,255,6,6,5,0.4,87,0.3,90,1,89,0.3,88,TCP/IP,Routing Algorithms,,,,,,,,,,Discrete Mathematics,Probability,,,,,,,,
CS5800,Algorithms,227,226,6,6,5,0.35,85,0.4,89,1,85,0.25,86,Dynamic Programming,Sorting Algorithms,,Searching Algorithms,Graph Algorithms,Divide-and-Conquer,Complexity Analysis,,Java,,,Linear Algebra,,,Python,,,,,,
CS5850,Building Game Engines,274,270,4,5,4,0.3,85,0.3,88,1,86,0.4,87,Engine architecture,Entity-Component Systems,,Physics Simulation,Rendering Optimization,C++,,,Operating Systems,,,Differential Calculus,,,,,,,,,
CS5933,Advanced Computer Science Topics for Teachers,202,225,4,5,4,0.3,84,0.3,87,1,85,0.4,86,Teaching methodologies,,,,,,,,,,,,,,,,Teaching experience,,,,
CS5934,Introduction to Inclusive Computer Science Teaching,265,298,5,5,4,0.3,85,0.3,88,1,86,0.4,86,Equity in CS education,accessibility,,,,,,,Varies,,,,,,,,Teaching experience,,,,
CS5964,Projects for Professionals,261,264,5,4,5,0.3,86,0.4,89,0,0,0,88,Project management,,,,,,,,,,,,,,,,Industry experience,,,,
CS5965,Engaging with Industry Partners for Rising Professionals,298,297,5,4,5,0.3,85,0.5,90,0,0,0,89,Industry collaboration,,,,,,,,Varies,,,,,,,,Industry experience,,,,
CS6200,Information Retrieval,240,238,4,5,4,0.4,85,0.3,88,1,87,0.3,87,TF-IDF,PageRank,,vector space models,IR models,,,,,,,Probability,Linear Algebra,,,,,,,,
DS5010,Introduction to Programming for Data Science,263,286,4,5,5,0.35,86,0.3,88,1,87,0.35,87,Python,R,,Pandas,Jupyter Notebooks,Data Cleaning,Data Processing,,Python,,,,,,,,,,,,
DS5020,Introduction to Linear Algebra and Probability for Data Science,224,217,6,5,5,0.35,85,0.3,87,1,86,0.35,86,Statistics,Probability,,Linear Algebra,Python,,,,Python,,,Basic knowledge of Statistics,Probability,Linear Algebra,,,,Matrix operations,,,
DS5110,Introduction to Data Management and Processing,228,224,5,5,5,0.35,87,0.3,89,1,88,0.35,88,SQL,ETL Pipelines,,Data Warehousing,Apache Spark,,,,Python,,,,,,,,,,,,
DS5220,Supervised Machine Learning and Learning Theory,286,299,6,5,6,0.4,88,0.3,90,1,89,0.3,89,Python,R,,MATLAB,Algorithms,SVMs,Decision Trees,,Python,Overfitting,Cross-Validation,,,,,,Python,,R,MATLAB,
DS5230,Unsupervised Machine Learning and Data Mining,213,232,6,5,6,0.4,87,0.3,89,1,88,0.3,88,Python,R,,MATLAB,Algorithms,,,,Python,,,,,,R,MATLAB,Python,,R,MATLAB,
DS5500,Data Science Capstone,259,257,12,4,8,0.3,90,0.5,92,1,91,0.2,91,Data Wrangling,Machine Learning,,,,,,CS5800,Python,,,,,,,,,,,,
CS6120,Natural Language Processing,210,208,4,5,4,0.4,85,0.3,88,1,87,0.3,87,Tokenization,Transformers,,BERT,GPT,Sentiment Analysis,Python,,Python,,,Probability,Linear Algebra,,,,,,,,
CS6130,Affective Computing,233,224,4,4,5,0.35,82,0.25,85,1,88,0.4,85,Emotion Recognition,Biosignal Processing,,Ethics,Python,MATLAB,,,Python,,,Basic Statistics,,,,,,,,,
CS6140,Machine Learning,203,195,4,6,5,0.5,88,0.2,90,1,89,0.3,89,Regression,Classification,,Feature Engineering,Scikit-learn,Python,,CS5800,Python,,,Probability,Linear Algebra,Statistics,,,,Algorithms,,,
CS6200,Information Retrieval,224,248,4,5,4,0.4,84,0.3,87,1,86,0.3,86,Search Algorithms,TF-IDF,,PageRank,Elasticsearch,,,,Python,,,Probability,Linear Algebra,Algorithms,Java,,,,,,
CS6220,Data Mining Techniques,259,271,4,6,5,0.5,87,0.2,89,1,88,0.3,88,Classification,Prediction,,Ensemble methods,,,,CS5800,Python,,,Linear Algebra,Probability,Algorithms,,,,,,,
CS6240,Large-Scale Parallel Data Processing,205,216,4,5,6,0.4,83,0.3,86,1,85,0.3,85,MapReduce,Hadoop,,Spark,Distributed Computing,Cloud Platforms,AWS,CS5800,Java,,,Linear Algebra,Probability,Algorithms,Scala,,,,,,
CS6350,Empirical Research Methods,213,210,4,4,5,0.4,82,0.2,84,1,83,0.4,83,Methods for conducting empirical research,,,,,,,,,,,Basic Statistics,,,,,,,,,
CS6410,Compilers,247,272,4,6,6,0.5,86,0.3,88,1,87,0.2,87,Lexical Analysis,Parsing,,Code Generation,LLVM,,,CS5400,C,,,,,,,,,,,,
CS6510,Advanced Software Development,232,238,4,4,6,0.4,83,0.4,85,0,0,0.2,84,Large-scale projects,Microservices,,Docker,Kubernetes,DevOps,API Design,CS5004,Python,,,,,,Java,,,,,,CS5500
CS6620,Fundamentals of Cloud Computing,257,255,4,5,5,0.4,84,0.3,86,1,85,0.3,85,AWS,Azure,,Virtualization,Serverless Architecture,Infrastructure as Code,Terraform,,,Cloud Platforms,,,,,,,,,,,
CS6640,Operating Systems Implementation,286,278,4,6,6,0.5,87,0.2,89,1,88,0.3,88,OS kernel design,Kernel Development,,File Systems,Multithreading,Operating Systems,,CS5600,C,,,,,,,,,,,,
CS6650,Building Scalable Distributed Systems,228,224,4,5,5,0.4,83,0.3,85,1,84,0.3,84,Distributed systems,Consensus Algorithms,,Raft,Load Balancing,CAP Theorem,,,C,,,,,,,,,,,,
CS7150,Deep Learning,272,300,12,5,6,0.4,90,0.3,92,1,91,0.3,91,Deep Learning,Neural Networks,,CNN,RNN,PyTorch,TensorFlow,CS6140,Python,GPU Acceleration,,Linear Algebra,Calculus,,,,,,,,
CS7200,Statistical Methods for Computer Science,271,265,10,5,5,0.35,87,0.3,89,1,88,0.35,88,Applied statistics,Bayesian inference,,,,,,,,,,Probability,Statistics,,,,,,,,
CS7250,Information Visualization: Theory and Applications,212,235,8,4,5,0.3,85,0.4,87,1,86,0.3,86,Data visualization theory,,,,,,,,,,,,,,,,,,,,
CS7300,Empirical Research Methods for Human Computer Interaction,288,283,10,5,5,0.35,86,0.3,88,1,87,0.35,87,Human subject studies,,,,,,,,,,,,,,,,,,,,
CS7400,Intensive Principles of Programming Languages,230,223,8,5,5,0.35,88,0.3,90,1,89,0.35,89,Syntax,semantics of programming languages,,,,,,,,,,,,,,,,,,,
CS7600,Intensive Computer Systems,286,278,10,6,5,0.4,87,0.3,89,1,88,0.3,88,OS structure,concurrency,,Computer Systems,,,,,,,,,,,,,,,,,
CS7800,Advanced Algorithms,222,217,12,6,6,0.45,89,0.3,91,1,90,0.25,90,Advanced algorithmic techniques,NP-Completeness,,Approximation Algorithms,Randomized Algorithms,,,CS5800,,,,Linear Algebra,Probability,,,,,,,,
